City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
387,Narovchat,RU,53.8765,43.6946,20.39,74,31,10.29,scattered clouds
388,Thaton,MM,16.9206,97.3714,69.21,78,2,3.38,clear sky
389,Szeged,HU,46.253,20.1482,36.1,97,100,15.01,light rain
390,Dorokhovo,RU,55.5506,36.3744,24.53,93,100,7.9,overcast clouds
391,Roma,US,43.2128,-75.4557,42.66,58,1,5.75,clear sky
392,Sitka,US,57.0531,-135.33,33.69,75,90,5.75,light snow
393,Bowling Green,US,36.9903,-86.4436,46.98,57,0,3.2,clear sky
394,Atambua,ID,-9.1061,124.8925,75.61,86,87,1.88,overcast clouds
395,Atocha,BO,-20.9333,-66.2333,57.24,15,1,13.71,clear sky
396,Turukhansk,RU,65.8167,87.9833,-11.99,92,100,4.09,overcast clouds
397,Forbes,AU,-33.3833,148.0167,69.35,52,0,4.21,clear sky
398,Akyab,MM,20.15,92.9,69.57,59,8,7.56,clear sky
399,Goure,NE,13.9835,10.2704,74.01,14,73,8.46,broken clouds
400,Lakatoro,VU,-16.0999,167.4164,83.37,79,100,11.56,heavy intensity rain
401,The Valley,AI,18.217,-63.0578,81.1,78,20,10.36,few clouds
402,Kankaanpaa,FI,61.8,22.4167,28.8,99,100,3.58,overcast clouds
403,Grindavik,IS,63.8424,-22.4338,41.47,87,75,19.57,broken clouds
404,Ostrovnoy,RU,68.0531,39.5131,30.52,89,100,16.55,overcast clouds
405,Bukachacha,RU,52.9833,116.9167,-5.66,99,95,2.66,overcast clouds
406,Urusha,RU,54.05,122.9,-4.0,97,100,1.74,overcast clouds
407,Popondetta,PG,-8.7537,148.2534,78.64,88,100,1.32,moderate rain
408,Strezhevoy,RU,60.7333,77.5889,-2.02,100,86,2.35,overcast clouds
409,Porto Walter,BR,-8.2686,-72.7439,84.43,68,73,5.44,broken clouds
410,Duki,PK,30.1541,68.5728,45.3,29,0,2.75,clear sky
411,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.32,93,100,0.87,moderate rain
412,Sneek,NL,53.033,5.6589,51.08,98,100,4.0,overcast clouds
413,Gunjur,GM,13.2019,-16.7339,77.07,73,37,3.44,scattered clouds
414,Neiafu,TO,-18.65,-173.9833,81.28,83,75,2.3,broken clouds
415,Melilla,ES,35.2937,-2.9383,57.58,88,0,0.0,clear sky
416,Podgorenskiy,RU,50.405,39.6429,28.08,55,100,13.51,overcast clouds
417,Mandera,KE,3.9366,41.867,88.39,34,96,7.25,overcast clouds
418,Moa,CU,20.6569,-74.9403,78.33,80,23,11.36,few clouds
419,Mahibadhoo,MV,3.7833,72.9667,80.29,81,94,10.27,overcast clouds
420,Faya,SA,18.3851,42.4509,48.72,43,1,3.27,clear sky
421,Celestun,MX,20.8667,-90.4,80.47,72,12,12.93,few clouds
422,Naze,JP,28.3667,129.4833,59.92,70,76,18.39,broken clouds
423,San Gabriel,US,34.0961,-118.1058,69.49,31,1,5.75,clear sky
424,Taloqan,AF,36.7361,69.5345,38.43,58,28,0.98,scattered clouds
425,Westport,US,41.1415,-73.3579,46.54,43,1,4.0,clear sky
426,Koslan,RU,63.4564,48.8989,1.47,95,88,4.83,overcast clouds
427,Acari,PE,-15.4311,-74.6158,72.41,80,85,7.74,overcast clouds
428,Ribeira Grande,PT,38.5167,-28.7,58.71,53,100,21.34,overcast clouds
429,Fairbanks,US,64.8378,-147.7164,-8.77,70,1,3.44,light snow
430,Penzance,GB,50.1186,-5.5371,54.61,85,93,28.83,overcast clouds
431,Oum Hadjer,TD,13.2954,19.6966,77.0,14,69,9.44,broken clouds
432,Taksimo,RU,56.3444,114.8794,-7.83,99,100,1.74,overcast clouds
433,Safaga,EG,26.7292,33.9365,66.15,66,100,2.57,overcast clouds
434,Gladstone,AU,-23.85,151.25,80.53,57,7,10.36,clear sky
